30 25
14 12 10 11 9 13 8 15 7 12 10 11 9 14 8 13 7 12 10 11 9 13 8 14 12
P1|6 0 1 2 3 4 5
P2|6 3 4 5 6 7 8
P3|6 6 7 8 9 10 11
P4|6 9 10 11 12 13 14
P5|6 12 13 14 15 16 17
P6|6 15 16 17 18 19 20
P7|6 15 16 17 18 19 20
P8|6 18 19 20 21 22 23
P9|6 21 22 23 24 25 26
P10|6 24 25 26 27 28 29
P11|3 27 28 29
P12|0
P13|5 0 5 10 15 20
P14|5 1 6 11 16 21
P15|5 3 8 13 18 23
P16|5 4 9 14 19 24
P17|6 10 11 12 13 14 15
P18|6 16 17 18 19 20 21
P19|6 22 23 24 25 26 27
P20|2 28 29 
P21|0
P22|7 0 8 16 24 1 9 17
P23|7 2 10 18 26 3 11 19
P24|7 4 12 20 28 5 13 21
P25|6 6 14 22 7 15 23
