40 25
13 11 9 12 8 14 10 7 15 9 11 10 8 14 12 9 13 7 11 10 9 12 8 13 11
P1|6 2 7 13 18 24 31
P2|5 0 11 19 26 33
P3|6 4 6 12 21 28 35
P4|6 3 17 22 29 34 38
P5|5 1 5 10 16 22
P6|6 8 9 14 20 25 32
P7|5 6 18 23 27 36
P8|6 2 15 19 28 33 39
P9|6 0 7 11 24 30 37
P10|5 3 8 13 21 35
P11|6 4 10 22 26 31 38
P12|6 6 9 12 17 20 29
P13|5 1 14 25 33 37
P14|6 5 11 16 23 34 39
P15|5 2 18 24 30 36
P16|6 0 8 15 19 27 32
P17|6 7 10 13 22 28 35
P18|5 3 9 20 26 31
P19|6 6 17 21 29 34 38
P20|6 4 12 16 18 23 36
P21|5 1 5 14 24 39
P22|8 0 8 16 24 32 1 9 17
P23|8 2 10 18 26 34 3 11 19
P24|8 4 12 20 28 36 5 13 21
P25|8 6 14 22 30 38 7 15 23
