40 25
13 10 12 9 14 8 11 7 15 9 12 10 8 14 11 9 13 7 12 10 9 11 8 14 12
P1|8 0 5 11 16 22 27 33 38
P2|8 1 6 12 18 23 29 34 39
P3|8 2 7 13 19 24 30 35 37
P4|8 3 8 14 20 25 31 36 32
P5|6 4 9 15 21 26 32
P6|6 5 10 16 22 27 33
P7|6 6 11 17 23 28 34
P8|5 7 12 18 24 29
P9|6 8 13 19 25 30 35
P10|6 9 14 20 26 31 36
P11|6 10 15 21 27 32 37
P12|6 11 16 22 28 33 38
P13|5 0 6 12 18 24
P14|5 1 7 13 19 25
P15|5 2 8 14 20 26
P16|5 3 9 15 21 27
P17|6 12 13 14 15 16 17
P18|6 18 19 20 21 22 23
P19|6 24 25 26 27 28 29
P20|6 30 31 32 33 34 35
P21|6 34 35 36 37 38 39
P22|5 4 10 16 23 31
P23|6 6 12 19 25 32 38
P24|5 2 11 18 26 34
P25|6 3 13 20 28 35 39
