40 25
13 10 12 9 14 8 11 7 15 9 12 10 8 14 11 9 13 7 12 10 9 11 8 14 12
P1|8 0 4 9 15 21 28 33 37
P2|8 2 6 10 16 22 29 34 38
P3|8 1 5 11 17 23 30 35 39
P4|8 3 7 12 18 24 31 36 32
P5|6 8 9 14 20 25 32
P6|6 15 16 18 22 26 33
P7|6 17 20 25 29 31 36
P8|5 18 21 23 28 34
P9|6 21 22 23 24 25 30
P10|6 24 25 26 27 28 33
P11|6 27 28 29 30 31 34
P12|6 30 31 32 33 34 36
P13|5 0 5 10 15 20
P14|5 2 6 11 16 21
P15|5 3 8 13 18 23
P16|5 4 9 14 19 24
P17|6 10 11 12 13 14 15
P18|6 16 17 18 19 20 21
P19|6 22 23 24 25 26 27
P20|6 28 29 30 31 32 33
P21|6 34 35 36 37 38 39
P22|5 1 7 12 19 27
P23|6 3 6 9 14 18 25
P24|5 2 8 16 23 31
P25|6 4 10 17 21 29 35
