40 25
12 11 9 13 8 14 10 7 15 9 11 10 8 14 12 9 13 7 11 10 9 12 8 13 11
P1|8 0 6 12 18 24 30 36 39
P2|8 1 7 13 19 25 31 37 34
P3|8 2 8 14 20 26 32 38 35
P4|8 3 9 15 21 27 33 29 36
P5|6 4 10 16 22 28 34
P6|6 5 11 17 23 29 35
P7|6 6 12 18 24 30 36
P8|5 7 13 19 25 31
P9|6 8 14 20 26 32 38
P10|6 9 15 21 27 33 39
P11|6 10 16 22 28 34 37
P12|6 11 17 23 29 35 38
P13|5 0 5 10 15 20
P14|5 1 6 11 16 21
P15|5 2 7 12 17 22
P16|5 3 8 13 18 23
P17|6 14 15 16 17 18 19
P18|6 20 21 22 23 24 25
P19|6 26 27 28 29 30 31
P20|6 32 33 34 35 36 37
P21|6 34 35 36 37 38 39
P22|5 4 9 14 19 24
P23|6 6 11 16 21 26 31
P24|5 2 10 18 25 33
P25|6 3 12 20 28 35 39
