40 25
12 10 11 9 14 8 13 7 15 9 12 10 8 14 11 9 13 7 12 10 9 11 8 14 12
P1|6 1 6 12 18 25 30
P2|6 3 4 7 9 13 17
P3|5 6 7 10 14 19
P4|6 9 10 11 12 14 18
P5|5 12 14 17 20 27
P6|6 15 16 18 22 26 33
P7|6 17 20 25 29 31 36
P8|5 18 21 23 28 34
P9|6 21 22 23 24 25 30
P10|6 24 25 26 27 28 33
P11|6 27 28 29 30 31 34
P12|6 30 31 32 33 34 36
P13|5 0 5 10 15 20
P14|5 2 6 11 16 21
P15|5 3 8 13 18 23
P16|5 4 9 14 19 24
P17|6 10 11 12 13 14 15
P18|6 16 17 18 19 20 21
P19|6 22 23 24 25 26 27
P20|6 28 29 30 31 32 33
P21|6 34 35 36 37 38 39
P22|8 0 9 17 25 33 2 10 18
P23|8 1 11 19 27 35 3 13 21
P24|8 4 12 20 28 36 6 14 22
P25|8 7 15 23 31 39 8 16 24
