40 25
11 12 10 9 14 8 13 7 15 10 11 9 14 8 12 10 13 7 11 9 10 12 8 13 11
P1|5 0 3 7 12 18
P2|6 3 5 6 9 13 20
P3|6 6 7 8 10 14 19
P4|6 9 10 11 15 17 22
P5|5 12 13 14 16 21
P6|6 15 16 17 18 23 28
P7|6 17 19 20 24 27 35
P8|5 18 20 22 25 29
P9|6 21 22 23 24 26 31
P10|6 24 25 26 27 30 33
P11|6 27 28 29 30 31 34
P12|6 30 31 32 33 34 35
P13|5 0 5 10 15 20
P14|5 1 6 11 16 21
P15|5 2 8 13 18 23
P16|5 4 9 14 19 24
P17|6 10 11 12 13 14 15
P18|6 16 17 18 19 20 21
P19|6 22 23 24 25 26 27
P20|6 28 29 30 31 32 33
P21|6 34 35 36 37 38 39
P22|8 0 8 16 24 32 1 9 17
P23|8 2 10 18 26 34 3 11 19
P24|8 4 12 20 28 36 5 13 21
P25|8 6 14 22 30 38 7 15 23
